group,seasonal_period_frames,seasonal_period_s,ar_order,config_hash
peel-cucumber,,,30,8afc249f260894fd
peel-potato,,,30,8afc249f260894fd
slice-bread,,,20,8afc249f260894fd
slice-cucumber,,,30,8afc249f260894fd
slice-potato,,,30,8afc249f260894fd
