model,channel,hand,horizon_step,metric,value,n_frames,config_hash
persistence,CoPx_L,L,3,SS_vs_seasonal,5.812743619770799e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,3,SS_vs_ar,-0.16477888095739357,46647,8afc249f260894fd
persistence,CoPx_L,L,4,MSE,0.0021129898468627744,46647,8afc249f260894fd
persistence,CoPx_L,L,4,MAE,0.03372435668766167,46647,8afc249f260894fd
persistence,CoPx_L,L,4,SS_vs_persistence,4.732629843573477e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,4,SS_vs_seasonal,4.732629843573477e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,4,SS_vs_ar,-0.17339872815967183,46647,8afc249f260894fd
persistence,CoPx_L,L,5,MSE,0.0023827286953918203,46647,8afc249f260894fd
persistence,CoPx_L,L,5,MAE,0.03610567934251354,46647,8afc249f260894fd
persistence,CoPx_L,L,5,SS_vs_persistence,4.1968684083570906e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,5,SS_vs_seasonal,4.1968684083570906e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,5,SS_vs_ar,-0.1781436361842046,46647,8afc249f260894fd
persistence,CoPx_L,L,6,MSE,0.002597516700167615,46647,8afc249f260894fd
persistence,CoPx_L,L,6,MAE,0.03789195565555133,46647,8afc249f260894fd
persistence,CoPx_L,L,6,SS_vs_persistence,3.8498304544276607e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,6,SS_vs_seasonal,3.8498304544276607e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,6,SS_vs_ar,-0.18076389240427715,46647,8afc249f260894fd
persistence,CoPx_L,L,7,MSE,0.002788854009914884,46647,8afc249f260894fd
persistence,CoPx_L,L,7,MAE,0.03920780810192872,46647,8afc249f260894fd
persistence,CoPx_L,L,7,SS_vs_persistence,3.585701735531188e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,7,SS_vs_seasonal,3.585701735531188e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,7,SS_vs_ar,-0.1778580541232515,46647,8afc249f260894fd
persistence,CoPx_L,L,8,MSE,0.002955196732629097,46647,8afc249f260894fd
persistence,CoPx_L,L,8,MAE,0.04009059053970325,46647,8afc249f260894fd
persistence,CoPx_L,L,8,SS_vs_persistence,3.3838698509924825e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,8,SS_vs_seasonal,3.3838698509924825e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,8,SS_vs_ar,-0.17373623851264997,46647,8afc249f260894fd
persistence,CoPx_L,L,9,MSE,0.003108227541350979,46647,8afc249f260894fd
persistence,CoPx_L,L,9,MAE,0.0410433533436848,46647,8afc249f260894fd
persistence,CoPx_L,L,9,SS_vs_persistence,3.217267563471182e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,9,SS_vs_seasonal,3.217267563471182e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,9,SS_vs_ar,-0.17023784843524337,46647,8afc249f260894fd
persistence,CoPx_L,L,10,MSE,0.0032426046259867456,46647,8afc249f260894fd
persistence,CoPx_L,L,10,MAE,0.04218701149712873,46647,8afc249f260894fd
persistence,CoPx_L,L,10,SS_vs_persistence,3.083940880443947e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,10,SS_vs_seasonal,3.083940880443947e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,10,SS_vs_ar,-0.1656695489705764,46647,8afc249f260894fd
persistence,CoPx_L,L,all,MSE,0.0022454228938331173,46647,8afc249f260894fd
persistence,CoPx_L,L,all,MAE,0.033975236094871575,46647,8afc249f260894fd
persistence,CoPx_L,L,all,SS_vs_persistence,4.453504232060368e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,all,SS_vs_seasonal,4.453504232060368e-10,46647,8afc249f260894fd
persistence,CoPx_L,L,all,SS_vs_ar,-0.17692097061754697,46647,8afc249f260894fd
persistence,CoPy_L,L,1,MSE,0.00037254751203628553,46647,8afc249f260894fd
persistence,CoPy_L,L,1,MAE,0.013671292756705715,46647,8afc249f260894fd
persistence,CoPy_L,L,1,SS_vs_persistence,2.6842214007061216e-09,46647,8afc249f260894fd
persistence,CoPy_L,L,1,SS_vs_seasonal,2.6842214007061216e-09,46647,8afc249f260894fd
persistence,CoPy_L,L,1,SS_vs_ar,-0.3732019146999421,46647,8afc249f260894fd
persistence,CoPy_L,L,2,MSE,0.0010176487704905077,46647,8afc249f260894fd
persistence,CoPy_L,L,2,MAE,0.022938819095873544,46647,8afc249f260894fd
persistence,CoPy_L,L,2,SS_vs_persistence,9.826572888727014e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,2,SS_vs_seasonal,9.826572888727014e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,2,SS_vs_ar,-0.14090045794839945,46647,8afc249f260894fd
persistence,CoPy_L,L,3,MSE,0.0015325343667104872,46647,8afc249f260894fd
persistence,CoPy_L,L,3,MAE,0.02837982113884462,46647,8afc249f260894fd
persistence,CoPy_L,L,3,SS_vs_persistence,6.525139317758999e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,3,SS_vs_seasonal,6.525139317758999e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,3,SS_vs_ar,-0.12762141637475688,46647,8afc249f260894fd
persistence,CoPy_L,L,4,MSE,0.00189707776242356,46647,8afc249f260894fd
