input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage_raw,coverage_cal
raw,right,2.0,0.7,0.4254,0.5421,0.4171,0.4615,0.808,0.940
raw,right,2.0,0.8,0.4557,0.5451,0.4328,0.4778,0.808,0.940
raw,right,2.0,0.9,0.4734,0.5389,0.4476,0.4867,0.808,0.940
raw,right,2.0,1.0,0.4776,0.5297,0.4617,0.4897,0.808,0.940
raw,right,3.0,0.1,0.0795,0.1911,0.2167,0.1624,0.798,0.941
raw,right,3.0,0.2,0.2002,0.2823,0.3011,0.2612,0.798,0.941
raw,right,3.0,0.3,0.2469,0.3765,0.3415,0.3216,0.798,0.941
raw,right,3.0,0.4,0.2897,0.4518,0.3586,0.3667,0.798,0.941
raw,right,3.0,0.5,0.3399,0.5116,0.3773,0.4096,0.798,0.941
raw,right,3.0,0.6,0.3874,0.5454,0.3881,0.4403,0.798,0.941
raw,right,3.0,0.7,0.4280,0.5619,0.4030,0.4643,0.798,0.941
raw,right,3.0,0.8,0.4575,0.5640,0.4154,0.4790,0.798,0.941
raw,right,3.0,0.9,0.4749,0.5503,0.4280,0.4844,0.798,0.941
raw,right,3.0,1.0,0.4812,0.5325,0.4439,0.4859,0.798,0.941
raw,right,5.0,0.1,0.0600,0.1638,0.1890,0.1376,0.792,0.947
raw,right,5.0,0.2,0.1429,0.2592,0.2954,0.2325,0.792,0.947
raw,right,5.0,0.3,0.1709,0.3513,0.3331,0.2851,0.792,0.947
raw,right,5.0,0.4,0.2058,0.4190,0.3385,0.3211,0.792,0.947
raw,right,5.0,0.5,0.2569,0.4736,0.3440,0.3582,0.792,0.947
raw,right,5.0,0.6,0.3091,0.5056,0.3459,0.3868,0.792,0.947
raw,right,5.0,0.7,0.3546,0.5269,0.3525,0.4114,0.792,0.947
raw,right,5.0,0.8,0.3836,0.5350,0.3665,0.4283,0.792,0.947
raw,right,5.0,0.9,0.4029,0.5341,0.3848,0.4406,0.792,0.947
raw,right,5.0,1.0,0.4109,0.5213,0.4038,0.4453,0.792,0.947
raw,right,10.0,0.1,-0.0642,0.1616,0.2133,0.1035,0.764,0.946
raw,right,10.0,0.2,0.0546,0.2567,0.2981,0.2031,0.764,0.946
raw,right,10.0,0.3,0.0808,0.3403,0.3051,0.2421,0.764,0.946
raw,right,10.0,0.4,0.1278,0.4082,0.2757,0.2706,0.764,0.946
raw,right,10.0,0.5,0.1981,0.4667,0.2774,0.3141,0.764,0.946
raw,right,10.0,0.6,0.2660,0.5008,0.2952,0.3540,0.764,0.946
raw,right,10.0,0.7,0.3204,0.5190,0.3236,0.3877,0.764,0.946
raw,right,10.0,0.8,0.3538,0.5246,0.3489,0.4091,0.764,0.946
raw,right,10.0,0.9,0.3783,0.5136,0.3740,0.4219,0.764,0.946
raw,right,10.0,1.0,0.3958,0.4999,0.3919,0.4292,0.764,0.946
highpass,left,1.0,0.1,-0.1316,0.1039,0.1910,0.0544,0.840,0.949
highpass,left,1.0,0.2,0.1946,0.1937,0.2320,0.2067,0.840,0.949
highpass,left,1.0,0.3,0.3022,0.2633,0.2836,0.2830,0.840,0.949
highpass,left,1.0,0.4,0.3505,0.3109,0.3195,0.3270,0.840,0.949
highpass,left,1.0,0.5,0.3956,0.3640,0.3539,0.3712,0.840,0.949
highpass,left,1.0,0.6,0.4399,0.4083,0.3888,0.4123,0.840,0.949
highpass,left,1.0,0.7,0.4719,0.4403,0.4244,0.4455,0.840,0.949
highpass,left,1.0,0.8,0.4978,0.4620,0.4532,0.4710,0.840,0.949
highpass,left,1.0,0.9,0.5137,0.4752,0.4763,0.4884,0.840,0.949
highpass,left,1.0,1.0,0.5201,0.4775,0.4938,0.4971,0.840,0.949
highpass,left,2.0,0.1,-0.1108,0.1019,0.1377,0.0429,0.820,0.951
highpass,left,2.0,0.2,0.1738,0.1722,0.2008,0.1823,0.820,0.951
highpass,left,2.0,0.3,0.2687,0.2315,0.2536,0.2513,0.820,0.951
highpass,left,2.0,0.4,0.3155,0.2842,0.2879,0.2959,0.820,0.951
highpass,left,2.0,0.5,0.3687,0.3403,0.3237,0.3443,0.820,0.951
highpass,left,2.0,0.6,0.4208,0.3907,0.3638,0.3918,0.820,0.951
highpass,left,2.0,0.7,0.4593,0.4247,0.4039,0.4293,0.820,0.951
highpass,left,2.0,0.8,0.4903,0.4463,0.4409,0.4592,0.820,0.951
highpass,left,2.0,0.9,0.5082,0.4567,0.4700,0.4783,0.820,0.951
highpass,left,2.0,1.0,0.5176,0.4555,0.4857,0.4863,0.820,0.951
highpass,left,3.0,0.1,-0.1964,0.0904,0.1631,0.0190,0.806,0.950
highpass,left,3.0,0.2,0.1199,0.1416,0.1991,0.1535,0.806,0.950
highpass,left,3.0,0.3,0.2234,0.1958,0.2319,0.2170,0.806,0.950
highpass,left,3.0,0.4,0.2785,0.2488,0.2526,0.2600,0.806,0.950
highpass,left,3.0,0.5,0.3352,0.3083,0.2822,0.3086,0.806,0.950
highpass,left,3.0,0.6,0.3882,0.3630,0.3204,0.3572,0.806,0.950
highpass,left,3.0,0.7,0.4300,0.4081,0.3642,0.4008,0.806,0.950
highpass,left,3.0,0.8,0.4637,0.4428,0.4049,0.4372,0.806,0.950
highpass,left,3.0,0.9,0.4879,0.4651,0.4385,0.4638,0.806,0.950
highpass,left,3.0,1.0,0.5030,0.4723,0.4636,0.4797,0.806,0.950
highpass,left,5.0,0.1,-0.2288,0.0487,0.1201,-0.0200,0.792,0.946
highpass,left,5.0,0.2,0.0887,0.1256,0.1762,0.1302,0.792,0.946
highpass,left,5.0,0.3,0.1710,0.1685,0.2028,0.1808,0.792,0.946
highpass,left,5.0,0.4,0.2049,0.2011,0.2151,0.2070,0.792,0.946
highpass,left,5.0,0.5,0.2550,0.2473,0.2401,0.2475,0.792,0.946
highpass,left,5.0,0.6,0.3162,0.2980,0.2717,0.2953,0.792,0.946
highpass,left,5.0,0.7,0.3763,0.3449,0.3185,0.3466,0.792,0.946
highpass,left,5.0,0.8,0.4370,0.3871,0.3695,0.3979,0.792,0.946
highpass,left,5.0,0.9,0.4796,0.4192,0.4127,0.4372,0.792,0.946
highpass,left,5.0,1.0,0.5052,0.4340,0.4432,0.4608,0.792,0.946
highpass,left,10.0,0.1,-0.2687,0.0318,0.1221,-0.0383,0.784,0.950
highpass,left,10.0,0.2,0.0459,0.0866,0.1351,0.0892,0.784,0.950
highpass,left,10.0,0.3,0.1355,0.1193,0.1474,0.1340,0.784,0.950
highpass,left,10.0,0.4,0.1903,0.1523,0.1630,0.1685,0.784,0.950
