input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage
raw,right,3.0,0.5,0.3368,0.5171,0.3871,0.4137,0.819
raw,right,3.0,0.6,0.3891,0.5508,0.4032,0.4477,0.819
raw,right,3.0,0.7,0.4340,0.5700,0.4190,0.4743,0.819
raw,right,3.0,0.8,0.4669,0.5726,0.4366,0.4920,0.819
raw,right,3.0,0.9,0.4870,0.5612,0.4548,0.5010,0.819
raw,right,3.0,1.0,0.4919,0.5419,0.4672,0.5003,0.819
raw,right,5.0,0.1,0.0370,0.1905,0.1903,0.1393,0.810
raw,right,5.0,0.2,0.1506,0.2800,0.2737,0.2347,0.810
raw,right,5.0,0.3,0.1910,0.3714,0.3065,0.2896,0.810
raw,right,5.0,0.4,0.2344,0.4436,0.3129,0.3303,0.810
raw,right,5.0,0.5,0.2894,0.5081,0.3370,0.3782,0.810
raw,right,5.0,0.6,0.3423,0.5460,0.3516,0.4133,0.810
raw,right,5.0,0.7,0.3907,0.5651,0.3674,0.4411,0.810
raw,right,5.0,0.8,0.4261,0.5663,0.3899,0.4608,0.810
raw,right,5.0,0.9,0.4520,0.5577,0.4121,0.4739,0.810
raw,right,5.0,1.0,0.4667,0.5437,0.4340,0.4815,0.810
raw,right,10.0,0.1,-0.0388,0.1794,0.2391,0.1265,0.793
raw,right,10.0,0.2,0.0045,0.2760,0.3051,0.1952,0.793
raw,right,10.0,0.3,0.0048,0.3548,0.3166,0.2254,0.793
raw,right,10.0,0.4,0.0499,0.4223,0.2908,0.2543,0.793
raw,right,10.0,0.5,0.1383,0.4846,0.2956,0.3061,0.793
raw,right,10.0,0.6,0.2335,0.5182,0.3139,0.3552,0.793
raw,right,10.0,0.7,0.3225,0.5351,0.3495,0.4024,0.793
raw,right,10.0,0.8,0.3857,0.5378,0.3845,0.4360,0.793
raw,right,10.0,0.9,0.4268,0.5291,0.4137,0.4566,0.793
raw,right,10.0,1.0,0.4470,0.5126,0.4304,0.4633,0.793
highpass,left,1.0,0.1,-0.0976,0.1531,0.1875,0.0810,0.855
highpass,left,1.0,0.2,0.1982,0.2064,0.2360,0.2135,0.855
highpass,left,1.0,0.3,0.3097,0.2694,0.2926,0.2906,0.855
highpass,left,1.0,0.4,0.3657,0.3242,0.3364,0.3421,0.855
highpass,left,1.0,0.5,0.4173,0.3792,0.3780,0.3915,0.855
highpass,left,1.0,0.6,0.4603,0.4264,0.4135,0.4334,0.855
highpass,left,1.0,0.7,0.4911,0.4617,0.4484,0.4671,0.855
highpass,left,1.0,0.8,0.5165,0.4864,0.4752,0.4927,0.855
highpass,left,1.0,0.9,0.5331,0.5014,0.4960,0.5102,0.855
highpass,left,1.0,1.0,0.5424,0.5054,0.5088,0.5189,0.855
highpass,left,2.0,0.1,-0.1778,0.1201,0.1826,0.0416,0.827
highpass,left,2.0,0.2,0.1828,0.1826,0.2196,0.1950,0.827
highpass,left,2.0,0.3,0.2955,0.2609,0.2642,0.2736,0.827
highpass,left,2.0,0.4,0.3467,0.3199,0.3024,0.3230,0.827
highpass,left,2.0,0.5,0.3967,0.3694,0.3414,0.3692,0.827
highpass,left,2.0,0.6,0.4367,0.4076,0.3739,0.4061,0.827
highpass,left,2.0,0.7,0.4660,0.4351,0.4089,0.4366,0.827
highpass,left,2.0,0.8,0.4918,0.4542,0.4462,0.4641,0.827
highpass,left,2.0,0.9,0.5089,0.4655,0.4712,0.4819,0.827
highpass,left,2.0,1.0,0.5158,0.4641,0.4840,0.4880,0.827
highpass,left,3.0,0.1,-0.1862,0.0872,0.1749,0.0253,0.829
highpass,left,3.0,0.2,0.1327,0.1659,0.2143,0.1710,0.829
highpass,left,3.0,0.3,0.2416,0.2274,0.2621,0.2437,0.829
highpass,left,3.0,0.4,0.3052,0.2831,0.3039,0.2974,0.829
highpass,left,3.0,0.5,0.3703,0.3474,0.3477,0.3552,0.829
highpass,left,3.0,0.6,0.4244,0.4032,0.3887,0.4054,0.829
highpass,left,3.0,0.7,0.4662,0.4459,0.4282,0.4468,0.829
highpass,left,3.0,0.8,0.4993,0.4748,0.4599,0.4780,0.829
highpass,left,3.0,0.9,0.5221,0.4923,0.4793,0.4979,0.829
highpass,left,3.0,1.0,0.5324,0.4971,0.4934,0.5076,0.829
highpass,left,5.0,0.1,-0.1881,0.1020,0.1615,0.0251,0.803
highpass,left,5.0,0.2,0.0888,0.1447,0.1783,0.1373,0.803
highpass,left,5.0,0.3,0.1775,0.1812,0.2093,0.1893,0.803
highpass,left,5.0,0.4,0.2196,0.2160,0.2333,0.2230,0.803
highpass,left,5.0,0.5,0.2810,0.2737,0.2679,0.2742,0.803
highpass,left,5.0,0.6,0.3507,0.3388,0.3122,0.3339,0.803
highpass,left,5.0,0.7,0.4114,0.3939,0.3622,0.3892,0.803
highpass,left,5.0,0.8,0.4639,0.4381,0.4083,0.4368,0.803
highpass,left,5.0,0.9,0.4978,0.4636,0.4433,0.4682,0.803
highpass,left,5.0,1.0,0.5166,0.4741,0.4665,0.4857,0.803
highpass,left,10.0,0.1,-0.2510,0.0208,0.1134,-0.0389,0.798
highpass,left,10.0,0.2,0.0567,0.0694,0.1269,0.0843,0.798
highpass,left,10.0,0.3,0.1415,0.1183,0.1519,0.1373,0.798
highpass,left,10.0,0.4,0.1840,0.1651,0.1692,0.1727,0.798
highpass,left,10.0,0.5,0.2537,0.2292,0.2060,0.2296,0.798
highpass,left,10.0,0.6,0.3308,0.2971,0.2597,0.2959,0.798
highpass,left,10.0,0.7,0.3938,0.3597,0.3191,0.3576,0.798
highpass,left,10.0,0.8,0.4478,0.4119,0.3748,0.4115,0.798
highpass,left,10.0,0.9,0.4808,0.4434,0.4170,0.4471,0.798
highpass,left,10.0,1.0,0.4994,0.4558,0.4490,0.4681,0.798
highpass,right,1.0,0.1,0.2443,0.2084,0.2498,0.2342,0.846
highpass,right,1.0,0.2,0.3014,0.3087,0.3367,0.3156,0.846
highpass,right,1.0,0.3,0.3352,0.3995,0.3948,0.3765,0.846
highpass,right,1.0,0.4,0.3676,0.4642,0.4168,0.4162,0.846
highpass,right,1.0,0.5,0.4044,0.5165,0.4358,0.4522,0.846
highpass,right,1.0,0.6,0.4372,0.5461,0.4408,0.4747,0.846
highpass,right,1.0,0.7,0.4698,0.5599,0.4437,0.4912,0.846
highpass,right,1.0,0.8,0.4905,0.5604,0.4519,0.5010,0.846
highpass,right,1.0,0.9,0.5033,0.5539,0.4624,0.5065,0.846
highpass,right,1.0,1.0,0.5053,0.5387,0.4739,0.5059,0.846
highpass,right,2.0,0.1,0.2267,0.1918,0.2279,0.2155,0.829
highpass,right,2.0,0.2,0.2925,0.2934,0.3095,0.2985,0.829
