input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage_raw,coverage_cal
raw,right,2.0,0.7,0.5901,0.6213,0.5617,0.5911,0.940,0.947
raw,right,2.0,0.8,0.6066,0.6203,0.5703,0.5991,0.940,0.947
raw,right,2.0,0.9,0.6148,0.6110,0.5773,0.6010,0.940,0.947
raw,right,2.0,1.0,0.6156,0.5982,0.5840,0.5993,0.940,0.947
raw,right,3.0,0.1,0.2707,0.2980,0.3730,0.3139,0.938,0.943
raw,right,3.0,0.2,0.3272,0.3559,0.3975,0.3602,0.938,0.943
raw,right,3.0,0.3,0.3840,0.4548,0.4550,0.4312,0.938,0.943
raw,right,3.0,0.4,0.4432,0.5302,0.4947,0.4893,0.938,0.943
raw,right,3.0,0.5,0.4984,0.5848,0.5271,0.5368,0.938,0.943
raw,right,3.0,0.6,0.5434,0.6123,0.5456,0.5671,0.938,0.943
raw,right,3.0,0.7,0.5778,0.6235,0.5571,0.5862,0.938,0.943
raw,right,3.0,0.8,0.5985,0.6226,0.5651,0.5954,0.938,0.943
raw,right,3.0,0.9,0.6093,0.6142,0.5724,0.5986,0.938,0.943
raw,right,3.0,1.0,0.6116,0.6011,0.5790,0.5972,0.938,0.943
raw,right,5.0,0.1,0.3286,0.2818,0.3586,0.3230,0.939,0.948
raw,right,5.0,0.2,0.3657,0.3368,0.3909,0.3645,0.939,0.948
raw,right,5.0,0.3,0.4100,0.4366,0.4483,0.4316,0.939,0.948
raw,right,5.0,0.4,0.4612,0.5135,0.4849,0.4865,0.939,0.948
raw,right,5.0,0.5,0.5106,0.5713,0.5188,0.5336,0.939,0.948
raw,right,5.0,0.6,0.5516,0.6013,0.5392,0.5640,0.939,0.948
raw,right,5.0,0.7,0.5833,0.6172,0.5532,0.5846,0.939,0.948
raw,right,5.0,0.8,0.6022,0.6181,0.5622,0.5942,0.939,0.948
raw,right,5.0,0.9,0.6119,0.6117,0.5682,0.5973,0.939,0.948
raw,right,5.0,1.0,0.6135,0.5999,0.5746,0.5960,0.939,0.948
raw,right,10.0,0.1,0.2591,0.2747,0.3627,0.2989,0.942,0.946
raw,right,10.0,0.2,0.3237,0.3414,0.3959,0.3537,0.942,0.946
raw,right,10.0,0.3,0.3824,0.4364,0.4447,0.4212,0.942,0.946
raw,right,10.0,0.4,0.4384,0.5083,0.4726,0.4731,0.942,0.946
raw,right,10.0,0.5,0.4918,0.5620,0.5040,0.5193,0.942,0.946
raw,right,10.0,0.6,0.5361,0.5906,0.5229,0.5498,0.942,0.946
raw,right,10.0,0.7,0.5716,0.6038,0.5395,0.5716,0.942,0.946
raw,right,10.0,0.8,0.5924,0.6066,0.5502,0.5831,0.942,0.946
raw,right,10.0,0.9,0.6051,0.5991,0.5608,0.5883,0.942,0.946
raw,right,10.0,1.0,0.6091,0.5907,0.5673,0.5890,0.942,0.946
highpass,left,1.0,0.1,0.0955,0.2673,0.3076,0.2235,0.946,0.947
highpass,left,1.0,0.2,0.3194,0.2852,0.3058,0.3035,0.946,0.947
highpass,left,1.0,0.3,0.4127,0.3652,0.3676,0.3818,0.946,0.947
highpass,left,1.0,0.4,0.4672,0.4283,0.4213,0.4389,0.946,0.947
highpass,left,1.0,0.5,0.5146,0.4840,0.4696,0.4894,0.946,0.947
highpass,left,1.0,0.6,0.5527,0.5225,0.5063,0.5272,0.946,0.947
highpass,left,1.0,0.7,0.5773,0.5494,0.5376,0.5547,0.946,0.947
highpass,left,1.0,0.8,0.5971,0.5648,0.5604,0.5741,0.946,0.947
highpass,left,1.0,0.9,0.6072,0.5755,0.5770,0.5866,0.946,0.947
highpass,left,1.0,1.0,0.6134,0.5763,0.5854,0.5917,0.946,0.947
highpass,left,2.0,0.1,0.0672,0.2710,0.3067,0.2150,0.945,0.948
highpass,left,2.0,0.2,0.3073,0.2890,0.3080,0.3014,0.945,0.948
highpass,left,2.0,0.3,0.4079,0.3686,0.3724,0.3830,0.945,0.948
highpass,left,2.0,0.4,0.4654,0.4323,0.4278,0.4418,0.945,0.948
highpass,left,2.0,0.5,0.5143,0.4873,0.4759,0.4925,0.945,0.948
highpass,left,2.0,0.6,0.5543,0.5249,0.5105,0.5299,0.945,0.948
highpass,left,2.0,0.7,0.5790,0.5508,0.5415,0.5571,0.945,0.948
highpass,left,2.0,0.8,0.5991,0.5662,0.5641,0.5765,0.945,0.948
highpass,left,2.0,0.9,0.6088,0.5774,0.5812,0.5891,0.945,0.948
highpass,left,2.0,1.0,0.6153,0.5786,0.5893,0.5944,0.945,0.948
highpass,left,3.0,0.1,0.0453,0.2785,0.2971,0.2069,0.947,0.946
highpass,left,3.0,0.2,0.3005,0.2928,0.3015,0.2983,0.947,0.946
highpass,left,3.0,0.3,0.4092,0.3676,0.3673,0.3814,0.947,0.946
highpass,left,3.0,0.4,0.4695,0.4288,0.4227,0.4404,0.947,0.946
highpass,left,3.0,0.5,0.5184,0.4837,0.4723,0.4915,0.947,0.946
highpass,left,3.0,0.6,0.5576,0.5217,0.5087,0.5294,0.947,0.946
highpass,left,3.0,0.7,0.5812,0.5486,0.5394,0.5564,0.947,0.946
highpass,left,3.0,0.8,0.6010,0.5657,0.5624,0.5764,0.947,0.946
highpass,left,3.0,0.9,0.6094,0.5775,0.5776,0.5882,0.947,0.946
highpass,left,3.0,1.0,0.6149,0.5798,0.5865,0.5937,0.947,0.946
highpass,left,5.0,0.1,0.0483,0.2752,0.3018,0.2085,0.946,0.946
highpass,left,5.0,0.2,0.3157,0.2944,0.3034,0.3045,0.946,0.946
highpass,left,5.0,0.3,0.4201,0.3710,0.3680,0.3864,0.946,0.946
