model,channel,hand,horizon_step,metric,value,n_frames,config_hash
persistence,F_L,L,6,SS_vs_cnn_1s,-0.022511732547561447,49670,8afc249f260894fd
persistence,F_L,L,6,SS_vs_cnn_3s,-0.07547607794917499,49670,8afc249f260894fd
persistence,F_L,L,6,SS_vs_cnn_10s,-0.10040980416096512,49670,8afc249f260894fd
persistence,F_L,L,7,MSE,292429.15995558776,49670,8afc249f260894fd
persistence,F_L,L,7,MAE,405.36838672346863,49670,8afc249f260894fd
persistence,F_L,L,7,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_L,L,7,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_L,L,7,SS_vs_ar,-0.15615541341072214,49670,8afc249f260894fd
persistence,F_L,L,7,SS_vs_flatten_1s,0.020530737245769592,49670,8afc249f260894fd
persistence,F_L,L,7,SS_vs_flatten_3s,-0.05600581756362022,49670,8afc249f260894fd
persistence,F_L,L,7,SS_vs_flatten_10s,-0.026559023470091647,49670,8afc249f260894fd
persistence,F_L,L,7,SS_vs_cnn_1s,-0.05926167400334137,49670,8afc249f260894fd
persistence,F_L,L,7,SS_vs_cnn_3s,-0.10368896710729669,49670,8afc249f260894fd
persistence,F_L,L,7,SS_vs_cnn_10s,-0.1319016799574233,49670,8afc249f260894fd
persistence,F_L,L,8,MSE,320615.628624356,49670,8afc249f260894fd
persistence,F_L,L,8,MAE,425.1784558604367,49670,8afc249f260894fd
persistence,F_L,L,8,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_L,L,8,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_L,L,8,SS_vs_ar,-0.1759473189562888,49670,8afc249f260894fd
persistence,F_L,L,8,SS_vs_flatten_1s,0.011859536647511715,49670,8afc249f260894fd
persistence,F_L,L,8,SS_vs_flatten_3s,-0.06577063734433453,49670,8afc249f260894fd
persistence,F_L,L,8,SS_vs_flatten_10s,-0.04354265980280392,49670,8afc249f260894fd
persistence,F_L,L,8,SS_vs_cnn_1s,-0.07335975577686571,49670,8afc249f260894fd
persistence,F_L,L,8,SS_vs_cnn_3s,-0.1339458608383408,49670,8afc249f260894fd
persistence,F_L,L,8,SS_vs_cnn_10s,-0.15818576692833863,49670,8afc249f260894fd
persistence,F_L,L,9,MSE,347725.2042157164,49670,8afc249f260894fd
persistence,F_L,L,9,MAE,443.69468779589823,49670,8afc249f260894fd
persistence,F_L,L,9,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_L,L,9,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_L,L,9,SS_vs_ar,-0.19498882175727572,49670,8afc249f260894fd
persistence,F_L,L,9,SS_vs_flatten_1s,-0.009581124313547962,49670,8afc249f260894fd
persistence,F_L,L,9,SS_vs_flatten_3s,-0.08632294738721336,49670,8afc249f260894fd
