scope,subset,model,channel,metric,value,ci_lo,ci_hi,n_clips
trait,delta,persistence,CoPy_R,dR2,0.12112639824064275,-0.01455512022788789,0.25256065693718405,2843
trait,delta,seasonal,F_R,dR2,-0.12572256037843288,-0.3299782074807333,0.04652922396714186,2843
trait,delta,seasonal,CoPx_R,dR2,-0.07026586945955327,-0.27647984239665485,0.10531312434071781,2843
trait,delta,seasonal,CoPy_R,dR2,0.10511972286514593,-0.035335769559675045,0.23968555348166073,2843
trait,delta_no_contentious,ar,F_R,dR2,-0.026091324504134317,,,2027
trait,delta_no_contentious,ar,CoPx_R,dR2,-0.048225841194015184,,,2027
trait,delta_no_contentious,ar,CoPy_R,dR2,0.041690387389206385,,,2027
trait,delta_no_contentious,cnn,F_R,dR2,-0.41932042604977315,,,2027
trait,delta_no_contentious,cnn,CoPx_R,dR2,-2.542771881384498,,,2027
trait,delta_no_contentious,cnn,CoPy_R,dR2,0.5318285796594671,,,2027
trait,delta_no_contentious,flatten,F_R,dR2,-0.41932042604977315,,,2027
trait,delta_no_contentious,flatten,CoPx_R,dR2,-2.542771881384498,,,2027
trait,delta_no_contentious,flatten,CoPy_R,dR2,0.5318285796594671,,,2027
trait,delta_no_contentious,map_aggregate,F_R,dR2,-0.015183468551101198,,,2027
trait,delta_no_contentious,map_aggregate,CoPx_R,dR2,-0.0468389774981558,,,2027
trait,delta_no_contentious,map_aggregate,CoPy_R,dR2,0.04251910626596078,,,2027
trait,delta_no_contentious,persistence,F_R,dR2,-0.049114650455219566,,,2027
trait,delta_no_contentious,persistence,CoPx_R,dR2,-0.03310486939947288,,,2027
trait,delta_no_contentious,persistence,CoPy_R,dR2,0.14952700870619884,,,2027
trait,delta_no_contentious,seasonal,F_R,dR2,-0.13103594628890325,,,2027
trait,delta_no_contentious,seasonal,CoPx_R,dR2,-0.06667825843140252,,,2027
trait,delta_no_contentious,seasonal,CoPy_R,dR2,0.1332060668979025,,,2027
action,picking up,ar,mean,R2,0.335707888213987,,,931
action,picking up,cnn,mean,R2,-6.241904350154517,,,931
action,picking up,flatten,mean,R2,-6.241904350154517,,,931
action,picking up,map_aggregate,mean,R2,0.32629481775365915,,,931
action,picking up,persistence,mean,R2,-0.2360057914741983,,,931
action,picking up,seasonal,mean,R2,-0.2578933624858991,,,931
action,placing,ar,mean,R2,0.36063059760064925,,,246
action,placing,cnn,mean,R2,-7.065335472204249,,,246
action,placing,flatten,mean,R2,-7.065335472204249,,,246
action,placing,map_aggregate,mean,R2,0.36116405570673965,,,246
action,placing,persistence,mean,R2,-0.10281398389371028,,,246
action,placing,seasonal,mean,R2,-0.13136042308625226,,,246
action,pulling,ar,mean,R2,0.33360532304537527,,,240
action,pulling,cnn,mean,R2,-5.960491130231438,,,240
action,pulling,flatten,mean,R2,-5.960491130231438,,,240
action,pulling,map_aggregate,mean,R2,0.3302088769963611,,,240
action,pulling,persistence,mean,R2,-0.1701020201606156,,,240
action,pulling,seasonal,mean,R2,-0.18645009161794845,,,240
action,pressing,ar,mean,R2,0.3362757504856419,,,227
action,pressing,cnn,mean,R2,-6.69563211709102,,,227
action,pressing,flatten,mean,R2,-6.69563211709102,,,227
action,pressing,map_aggregate,mean,R2,0.3281530373814517,,,227
action,pressing,persistence,mean,R2,-0.19926962504876644,,,227
action,pressing,seasonal,mean,R2,-0.22723581773986087,,,227
action,pushing,ar,mean,R2,0.32535451275895444,,,150
action,pushing,cnn,mean,R2,-7.786973666034534,,,150
action,pushing,flatten,mean,R2,-7.786973666034534,,,150
action,pushing,map_aggregate,mean,R2,0.30829874097271054,,,150
action,pushing,persistence,mean,R2,-0.17658655142346258,,,150
action,pushing,seasonal,mean,R2,-0.19674546909874038,,,150
action,holding,ar,mean,R2,0.2761695561312655,,,112
action,holding,cnn,mean,R2,-7.641317997198944,,,112
action,holding,flatten,mean,R2,-7.641317997198944,,,112
action,holding,map_aggregate,mean,R2,0.28012469720086736,,,112
action,holding,persistence,mean,R2,-0.2605102916930472,,,112
action,holding,seasonal,mean,R2,-0.382861368712401,,,112
action,grasping,ar,mean,R2,0.34447168507089226,,,106
action,grasping,cnn,mean,R2,-7.275846652964881,,,106
action,grasping,flatten,mean,R2,-7.275846652964881,,,106
action,grasping,map_aggregate,mean,R2,0.3399712533848267,,,106
action,grasping,persistence,mean,R2,-0.15597215325746758,,,106
action,grasping,seasonal,mean,R2,-0.1297608942582796,,,106
action,adjusting,ar,mean,R2,0.3019695531658074,,,83
action,adjusting,cnn,mean,R2,-8.033798968534148,,,83
action,adjusting,flatten,mean,R2,-8.033798968534148,,,83
action,adjusting,map_aggregate,mean,R2,0.2947239610513264,,,83
action,adjusting,persistence,mean,R2,-0.24339602737545016,,,83
action,adjusting,seasonal,mean,R2,-0.2721719852690534,,,83
action,turning,ar,mean,R2,0.3705213669072482,,,83
action,turning,cnn,mean,R2,-5.765592635587918,,,83
action,turning,flatten,mean,R2,-5.765592635587918,,,83
action,turning,map_aggregate,mean,R2,0.3632948659215083,,,83
action,turning,persistence,mean,R2,-0.09645037528132035,,,83
action,turning,seasonal,mean,R2,-0.10883405889058724,,,83
action,touching,ar,mean,R2,0.3332590509000375,,,78
action,touching,cnn,mean,R2,-6.9792387485062575,,,78
action,touching,flatten,mean,R2,-6.9792387485062575,,,78
action,touching,map_aggregate,mean,R2,0.3049373096324976,,,78
action,touching,persistence,mean,R2,-0.24803836444715874,,,78
action,touching,seasonal,mean,R2,-0.220616345051419,,,78
action,moving,ar,mean,R2,0.3379231714197772,,,77
action,moving,cnn,mean,R2,-6.4050445617913025,,,77
action,moving,flatten,mean,R2,-6.4050445617913025,,,77
action,moving,map_aggregate,mean,R2,0.33632181360736935,,,77
action,moving,persistence,mean,R2,-0.1309566185520584,,,77
action,moving,seasonal,mean,R2,-0.2515876001498505,,,77
action,removing,ar,mean,R2,0.3721425408090881,,,53
action,removing,cnn,mean,R2,-6.588248460586645,,,53
action,removing,flatten,mean,R2,-6.588248460586645,,,53
action,removing,map_aggregate,mean,R2,0.3580851251218498,,,53
action,removing,persistence,mean,R2,-0.10219813952103511,,,53
action,removing,seasonal,mean,R2,-0.15952650495755974,,,53
action,sliding,ar,mean,R2,0.29329394360676736,,,52
action,sliding,cnn,mean,R2,-9.281332181370546,,,52
action,sliding,flatten,mean,R2,-9.281332181370546,,,52
action,sliding,map_aggregate,mean,R2,0.2920025242574195,,,52
action,sliding,persistence,mean,R2,-0.288025202325978,,,52
action,sliding,seasonal,mean,R2,-0.31266597403049273,,,52
loao,drop picking up,ar,mean,dR2,-0.011300809028567338,,,1912
loao,drop holding,ar,mean,dR2,0.01657927139985027,,,2731
loao,drop picking up,cnn,mean,dR2,-0.6618421758283914,,,1912
loao,drop holding,cnn,mean,dR2,-0.8258696518049616,,,2731
loao,drop picking up,flatten,mean,dR2,-0.6618421758283914,,,1912
loao,drop holding,flatten,mean,dR2,-0.8258696518049616,,,2731
loao,drop picking up,map_aggregate,mean,dR2,-0.007600038202450847,,,1912
loao,drop holding,map_aggregate,mean,dR2,0.014627428184726324,,,2731
loao,drop picking up,persistence,mean,dR2,-0.012649952822731217,,,1912
loao,drop holding,persistence,mean,dR2,0.040676605245300035,,,2731
loao,drop picking up,seasonal,mean,dR2,-0.05477958368322892,,,1912
loao,drop holding,seasonal,mean,dR2,0.020989308679024193,,,2731
