model,channel,horizon_step,metric,value,n_frames,config_hash,exploratory,split,fold
persistence,F_R,11,MSE,154765835.82130623,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,11,MAE,7866.349559824797,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,11,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,11,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,11,SS_vs_ar,-0.14148404904607537,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,MSE,162446764.5181274,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,MAE,8107.122837070125,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,12,SS_vs_ar,-0.15069620273797657,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,MSE,170297885.53987598,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,MAE,8344.956632984951,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,13,SS_vs_ar,-0.1611611540206579,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,MSE,178852740.2767466,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,MAE,8607.093390866907,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,14,SS_vs_ar,-0.17151577543076346,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,MSE,188283194.86044493,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,MAE,8885.85962097229,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,15,SS_vs_ar,-0.18090455245981474,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,MSE,199501558.57630426,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,MAE,9213.19285311592,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,16,SS_vs_ar,-0.18671879967434246,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,MSE,210205426.75707966,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,MAE,9511.967626523267,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,17,SS_vs_ar,-0.19334921156870322,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,18,MSE,220639978.7053862,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,18,MAE,9793.744936900994,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
