fold,held_out,model,channel,hand,horizon_step,metric,value,n_frames,config_hash
0,S01,persistence,CoPx_L,left,2,SS_vs_probgru,-0.0889801730071158,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,3,MSE,3.07817897511253e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,3,MAE,0.0037877367470586817,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,3,SS_vs_persistence,3.2486739076631466e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,3,SS_vs_seasonal,3.2486739076631466e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,3,SS_vs_ar,-0.14329003839035592,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,3,SS_vs_probgru,-0.1180612285334186,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,4,MSE,3.627259880898392e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,4,MAE,0.004191095410836354,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,4,SS_vs_persistence,2.7569019289686025e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,4,SS_vs_seasonal,2.7569019289686025e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,4,SS_vs_ar,-0.16451122338240265,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,4,SS_vs_probgru,-0.1701457518945737,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,5,MSE,4.120033453709755e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,5,MAE,0.004473997747249322,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,5,SS_vs_persistence,2.427164702556439e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,5,SS_vs_seasonal,2.427164702556439e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,5,SS_vs_ar,-0.20118630416620187,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,5,SS_vs_probgru,-0.2281199442967683,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,6,MSE,4.423000154520269e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,6,MAE,0.004750621874632115,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,6,SS_vs_persistence,2.260908760209901e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,6,SS_vs_seasonal,2.260908760209901e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,6,SS_vs_ar,-0.22273253375394475,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,6,SS_vs_probgru,-0.25157540879661755,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,MSE,3.2556381093009896e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,MAE,0.003871795323595158,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,Hausdorff,2.9653102999818626,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,SS_vs_persistence,3.071594378845077e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,HD_ratio_vs_persistence,1.0,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,SS_vs_seasonal,3.071594378845077e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,HD_ratio_vs_seasonal,1.0,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,SS_vs_ar,-0.17157669848545898,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,HD_ratio_vs_ar,1.1663824708086412,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,SS_vs_probgru,-0.16985981458689192,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPx_L,left,all,HD_ratio_vs_probgru,1.0887725850758827,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,1,MSE,2.1222956693324443e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,1,MAE,0.0024420908490112234,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,1,SS_vs_persistence,4.7118785873045965e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,1,SS_vs_seasonal,4.7118785873045965e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,1,SS_vs_ar,-0.1297411044577621,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,1,SS_vs_probgru,-0.04935110603078785,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,2,MSE,2.786108987559973e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,2,MAE,0.003026567873774325,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,2,SS_vs_persistence,3.589234909284755e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,2,SS_vs_seasonal,3.589234909284755e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,2,SS_vs_ar,-0.20418963665032663,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,2,SS_vs_probgru,-0.10951794040319185,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,3,MSE,3.342921062015261e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,3,MAE,0.0033711933670320243,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,3,SS_vs_persistence,2.991395708917821e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,3,SS_vs_seasonal,2.991395708917821e-08,15430,2ec2ba37fa8cbb0b
