fold,held_out,model,channel,hand,horizon_step,metric,value,n_frames,config_hash,arm
0,S01,persistence,CoPx_R,right,all,SS_vs_probgru,0.1227802532014398,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPx_R,right,all,HD_ratio_vs_probgru,0.9430699226022377,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,MSE,2.1639257927373304e-05,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,MAE,0.0032943102488441,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,Hausdorff,2.882479031549548,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,SS_vs_persistence,4.6212303428383457e-08,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,HD_ratio_vs_persistence,1.0,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,SS_vs_seasonal,0.0126754996115001,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,HD_ratio_vs_seasonal,0.992839320018404,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,SS_vs_ar,0.3721120560316333,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,HD_ratio_vs_ar,0.8723387579008701,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,SS_vs_probgru,0.5116778320286086,22076,2ec2ba37fa8cbb0b,none
0,S01,persistence,CoPy_R,right,all,HD_ratio_vs_probgru,0.6999662510775784,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,MSE,37.33986354378535,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,MAE,4.171042312409122,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,Hausdorff,3.0038386145886893,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,SS_vs_persistence,-0.0049222767086474,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,HD_ratio_vs_persistence,1.0029140580723976,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,SS_vs_seasonal,2.6867397195928788e-14,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,HD_ratio_vs_seasonal,1.0,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,SS_vs_ar,-0.0630624591023554,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,HD_ratio_vs_ar,1.1636164488218166,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,SS_vs_probgru,0.4942059772810634,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_L,left,all,HD_ratio_vs_probgru,0.7578113235109292,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,MSE,3.2556381093009896e-05,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,MAE,0.0038717953235951,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,Hausdorff,2.9653102999818626,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,SS_vs_persistence,3.071594378845077e-08,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,HD_ratio_vs_persistence,1.0,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,SS_vs_seasonal,3.071594378845077e-08,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,HD_ratio_vs_seasonal,1.0,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,SS_vs_ar,-0.1715766984854589,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,HD_ratio_vs_ar,1.1663824708086412,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,SS_vs_probgru,-0.1698598145868919,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_L,left,all,HD_ratio_vs_probgru,1.0887725850758827,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,MSE,3.201958358191271e-05,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,MAE,0.0033605379271723,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,Hausdorff,2.8952757714441164,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,SS_vs_persistence,3.1230886210487085e-08,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,HD_ratio_vs_persistence,1.0,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,SS_vs_seasonal,3.1230886210487085e-08,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,HD_ratio_vs_seasonal,1.0,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,SS_vs_ar,-0.2600525549508217,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,HD_ratio_vs_ar,1.1835640803315737,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,SS_vs_probgru,-0.093554530064015,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_L,left,all,HD_ratio_vs_probgru,1.0377860345843704,15430,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,MSE,95.22770932718927,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,MAE,6.64733102955582,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,Hausdorff,3.05727952207021,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,SS_vs_persistence,-0.0069088025434547,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,HD_ratio_vs_persistence,1.0027683223796349,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,SS_vs_seasonal,1.0436096431476471e-14,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,HD_ratio_vs_seasonal,1.0,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,SS_vs_ar,-0.0971759272747514,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,HD_ratio_vs_ar,1.1239595460995866,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,SS_vs_probgru,0.0093747790540955,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,F_R,right,all,HD_ratio_vs_probgru,1.033220318444606,32388,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,MSE,2.4189603474004548e-05,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,MAE,0.0033517461452377,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,Hausdorff,2.882942773667867,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,SS_vs_persistence,-0.1012949554204234,22076,2ec2ba37fa8cbb0b,none
