scope,subset,model,channel,metric,value,ci_lo,ci_hi,n_clips
action,pressing,seasonal,mean,R2,-0.22723581773986087,,,227
action,pushing,ar,mean,R2,0.32535451275895444,,,150
action,pushing,persistence,mean,R2,-0.17658655142346258,,,150
action,pushing,prob_gru,mean,R2,0.31686277177190586,,,150
action,pushing,seasonal,mean,R2,-0.19674546909874038,,,150
action,holding,ar,mean,R2,0.2761695561312655,,,112
action,holding,persistence,mean,R2,-0.2605102916930472,,,112
action,holding,prob_gru,mean,R2,0.27770439559804777,,,112
action,holding,seasonal,mean,R2,-0.382861368712401,,,112
action,grasping,ar,mean,R2,0.34447168507089226,,,106
action,grasping,persistence,mean,R2,-0.15597215325746758,,,106
action,grasping,prob_gru,mean,R2,0.33633386729692694,,,106
action,grasping,seasonal,mean,R2,-0.1297608942582796,,,106
action,adjusting,ar,mean,R2,0.3019695531658074,,,83
action,adjusting,persistence,mean,R2,-0.24339602737545016,,,83
action,adjusting,prob_gru,mean,R2,0.3085151462877872,,,83
action,adjusting,seasonal,mean,R2,-0.2721719852690534,,,83
action,turning,ar,mean,R2,0.3705213669072482,,,83
action,turning,persistence,mean,R2,-0.09645037528132035,,,83
action,turning,prob_gru,mean,R2,0.38199315278345175,,,83
action,turning,seasonal,mean,R2,-0.10883405889058724,,,83
action,touching,ar,mean,R2,0.3332590509000375,,,78
action,touching,persistence,mean,R2,-0.24803836444715874,,,78
action,touching,prob_gru,mean,R2,0.3264521226196386,,,78
action,touching,seasonal,mean,R2,-0.220616345051419,,,78
action,moving,ar,mean,R2,0.3379231714197772,,,77
action,moving,persistence,mean,R2,-0.1309566185520584,,,77
action,moving,prob_gru,mean,R2,0.34082249299606504,,,77
action,moving,seasonal,mean,R2,-0.2515876001498505,,,77
action,removing,ar,mean,R2,0.3721425408090881,,,53
action,removing,persistence,mean,R2,-0.10219813952103511,,,53
action,removing,prob_gru,mean,R2,0.36958700081544754,,,53
action,removing,seasonal,mean,R2,-0.15952650495755974,,,53
action,sliding,ar,mean,R2,0.29329394360676736,,,52
action,sliding,persistence,mean,R2,-0.288025202325978,,,52
action,sliding,prob_gru,mean,R2,0.33131429809731355,,,52
action,sliding,seasonal,mean,R2,-0.31266597403049273,,,52
loao,drop picking up,ar,mean,dR2,-0.011300809028567338,,,1912
loao,drop holding,ar,mean,dR2,0.01657927139985027,,,2731
loao,drop picking up,persistence,mean,dR2,-0.012649952822731217,,,1912
loao,drop holding,persistence,mean,dR2,0.040676605245300035,,,2731
loao,drop picking up,prob_gru,mean,dR2,0.0031893647132639944,,,1912
loao,drop holding,prob_gru,mean,dR2,0.028593998580823603,,,2731
loao,drop picking up,seasonal,mean,dR2,-0.05477958368322892,,,1912
loao,drop holding,seasonal,mean,dR2,0.020989308679024193,,,2731
