label,action,n_clips,model,r2,skill,skill_pooled,hausdorff,hausdorff_ratio,r2_F_R,skill_F_R,skill_pooled_F_R,hausdorff_F_R,r2_CoPx_R,skill_CoPx_R,skill_pooled_CoPx_R,hausdorff_CoPx_R,r2_CoPy_R,skill_CoPy_R,skill_pooled_CoPy_R,hausdorff_CoPy_R
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgagg_ar,0.5083730118742928,0.31670858112310596,0.36064393080317575,2.9545832840795683,0.9399983033174308,0.9557711168783105,0.07293246643358142,0.19075962201197505,3.722633796111705,0.3774225301224192,0.43953205680932517,0.43953674177586044,2.738441393764387,0.1919253886221487,0.4376612201264113,0.4516354286216918,2.4026746623626116
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgagg_persistence,0.13482847048342914,0.0,0.0,3.143179379848121,1.0,0.9522916276104056,0.0,0.0,3.3471773373340876,-0.11081726875104403,0.0,0.0,3.0478939228053195,-0.43698894740907424,0.0,0.0,3.034466879404957
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgagg_prob_gru,0.47886173314789415,-0.3132193340215001,-0.24294878562890568,3.7700240767474074,1.199430137814653,0.8655189665858408,-1.8188141132957787,-1.6094909383536513,5.8714959937659605,0.3811764004724384,0.4429114338280492,0.4319764562184275,2.8090133408208895,0.18988983238540325,0.43624467740322925,0.44866812524850663,2.6295628956553716
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgagg_seasonal,0.12261704846719401,-0.0477299902031586,-0.03697746650260947,1.9737076763012986,0.6279335150120094,0.9464516570714172,-0.12240976261563263,-0.1086433889238747,2.4421793042711237,-0.1076385764567771,0.0028615798328747166,-0.00020522538658873657,1.8359038967196701,-0.47096193521305807,-0.023641787826717886,-0.0020837851973649624,1.6430398279131013
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgcnn_ar,0.5083730118742928,0.31670858112310596,0.36064393080317575,2.9545832840795683,0.9399983033174308,0.9557711168783105,0.07293246643358142,0.19075962201197505,3.722633796111705,0.3774225301224192,0.43953205680932517,0.43953674177586044,2.738441393764387,0.1919253886221487,0.4376612201264113,0.4516354286216918,2.4026746623626116
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgcnn_persistence,0.13482847048342914,0.0,0.0,3.143179379848121,1.0,0.9522916276104056,0.0,0.0,3.3471773373340876,-0.11081726875104403,0.0,0.0,3.0478939228053195,-0.43698894740907424,0.0,0.0,3.034466879404957
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgcnn_pg_cnn,0.4627669820944071,-0.4956920198159505,-0.4482837982304099,4.065376270654743,1.293396201540105,0.8403236341821598,-2.3469254518661207,-2.197522802405418,6.226992277870592,0.3653245240239755,0.42864097108462607,0.4136800166118214,2.791413312835627,0.18265278807708585,0.4312084213336429,0.43899139110236673,3.1777232212580104
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgcnn_seasonal,0.12261704846719401,-0.0477299902031586,-0.03697746650260947,1.9737076763012986,0.6279335150120094,0.9464516570714172,-0.12240976261563263,-0.1086433889238747,2.4421793042711237,-0.1076385764567771,0.0028615798328747166,-0.00020522538658873657,1.8359038967196701,-0.47096193521305807,-0.023641787826717886,-0.0020837851973649624,1.6430398279131013
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgflat_ar,0.5083730118742928,0.31670858112310596,0.36064393080317575,2.9545832840795683,0.9399983033174308,0.9557711168783105,0.07293246643358142,0.19075962201197505,3.722633796111705,0.3774225301224192,0.43953205680932517,0.43953674177586044,2.738441393764387,0.1919253886221487,0.4376612201264113,0.4516354286216918,2.4026746623626116
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgflat_persistence,0.13482847048342914,0.0,0.0,3.143179379848121,1.0,0.9522916276104056,0.0,0.0,3.3471773373340876,-0.11081726875104403,0.0,0.0,3.0478939228053195,-0.43698894740907424,0.0,0.0,3.034466879404957
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgflat_pg_flatten,0.45639406566303303,-0.6595962840264881,-0.5847407669506289,3.9429454949911675,1.2544449484081597,0.8167227608933672,-2.841615840715778,-2.5999423228338654,6.427583621393787,0.3646319870192346,0.42801752290442296,0.40543189592084194,2.6620485561222758,0.18782744907649718,0.4348094657318906,0.44028812606113665,2.73920430745744
OpenTouch train_only_v1 3s six arms,(all actions),2843,pgflat_seasonal,0.12261704846719401,-0.0477299902031586,-0.03697746650260947,1.9737076763012986,0.6279335150120094,0.9464516570714172,-0.12240976261563263,-0.1086433889238747,2.4421793042711237,-0.1076385764567771,0.0028615798328747166,-0.00020522538658873657,1.8359038967196701,-0.47096193521305807,-0.023641787826717886,-0.0020837851973649624,1.6430398279131013
OpenTouch train_only_v1 3s six arms,(all actions),2843,s2sagg_ar,0.5083730118742928,0.31670858112310596,0.36064393080317575,2.9545832840795683,0.9399983033174308,0.9557711168783105,0.07293246643358142,0.19075962201197505,3.722633796111705,0.3774225301224192,0.43953205680932517,0.43953674177586044,2.738441393764387,0.1919253886221487,0.4376612201264113,0.4516354286216918,2.4026746623626116
OpenTouch train_only_v1 3s six arms,(all actions),2843,s2sagg_map_aggregate,0.501286352158417,0.28989693387929183,0.3061124913904885,3.237748249133055,1.0300870099528026,0.952603960752846,0.006546715530133751,0.04702259817739729,3.5424417862396145,0.3702853388566365,0.43310688548136445,0.4267409099875872,2.7406390608067825,0.18096975686576844,0.4300372006263773,0.44457396600648114,3.4301639003527673
OpenTouch train_only_v1 3s six arms,(all actions),2843,s2sagg_persistence,0.13482847048342914,0.0,0.0,3.143179379848121,1.0,0.9522916276104056,0.0,0.0,3.3471773373340876,-0.11081726875104403,0.0,0.0,3.0478939228053195,-0.43698894740907424,0.0,0.0,3.034466879404957
OpenTouch train_only_v1 3s six arms,(all actions),2843,s2sagg_seasonal,0.12261704846719401,-0.0477299902031586,-0.03697746650260947,1.9737076763012986,0.6279335150120094,0.9464516570714172,-0.12240976261563263,-0.1086433889238747,2.4421793042711237,-0.1076385764567771,0.0028615798328747166,-0.00020522538658873657,1.8359038967196701,-0.47096193521305807,-0.023641787826717886,-0.0020837851973649624,1.6430398279131013
OpenTouch train_only_v1 3s six arms,(all actions),2843,s2scnn_ar,0.5083730118742928,0.31670858112310596,0.36064393080317575,2.9545832840795683,0.9399983033174308,0.9557711168783105,0.07293246643358142,0.19075962201197505,3.722633796111705,0.3774225301224192,0.43953205680932517,0.43953674177586044,2.738441393764387,0.1919253886221487,0.4376612201264113,0.4516354286216918,2.4026746623626116
OpenTouch train_only_v1 3s six arms,(all actions),2843,s2scnn_cnn,0.49257984276019,0.3555531616154796,0.3658889423139562,2.92954899300292,0.9320336636798872,0.9632316491950184,0.2293103083725999,0.2591445570427243,3.311401540457571,0.3691962776247084,0.43212647109407953,0.42298154835968127,2.67170433442983,0.14531160146084343,0.40522270537975935,0.415540721539463,2.805541104121359
OpenTouch train_only_v1 3s six arms,(all actions),2843,s2scnn_persistence,0.13482847048342914,0.0,0.0,3.143179379848121,1.0,0.9522916276104056,0.0,0.0,3.3471773373340876,-0.11081726875104403,0.0,0.0,3.0478939228053195,-0.43698894740907424,0.0,0.0,3.034466879404957
